strategy,concurrency,repeat,request_id,group,queue_ms,processing_ms,end_to_end_ms,completed_at
fifo,2,2,standard-011,standard,1425.5745999998908,108.2378000000972,1533.8647999997193,2211.3668469
fifo,2,2,standard-009,standard,1533.8192999997773,107.34709999996994,1641.250300000138,2211.4742365
fifo,2,2,critical-008,critical,1533.85789999993,107.37710000012157,1641.297399999985,2211.4742878
fifo,2,2,critical-001,critical,1641.2514999997256,107.39109999985885,1748.7270999999964,2211.5817219
fifo,2,2,critical-004,critical,1641.2900000000263,107.40430000032575,1748.76039999981,2211.5817595
fifo,2,2,standard-014,standard,1748.7264000001232,108.35489999999481,1857.1486000000732,2211.6901517
fifo,2,2,standard-018,standard,1748.7536000003274,108.37820000006104,1857.1923999998035,2211.6901994
fifo,2,2,standard-003,standard,1857.1493999997983,105.73680000015884,1962.9707999997663,2211.7959819
fifo,2,2,batch-008,batch,1857.185599999866,105.7476000000861,1963.0045999997492,2211.7960196
fifo,2,2,standard-020,standard,1962.9711999996289,108.43819999990956,2071.4802000002237,2211.9044993
fifo,2,2,batch-007,batch,1962.9789999999048,108.4805000000415,2071.5180999995937,2211.9045598
fifo,2,2,batch-002,batch,2071.46049999983,109.10289999992528,2180.663000000095,2212.0137128
fifo,2,2,batch-000,batch,2071.505399999751,109.11089999990509,2180.696700000226,2212.0137524
fifo,2,2,batch-013,batch,2180.659099999957,108.00370000015391,2288.729500000045,2212.1217912
fifo,2,2,critical-006,critical,2180.685799999992,108.02259999991293,2288.762499999848,2212.1218301
fifo,2,2,standard-013,standard,2288.724600000023,106.13829999965674,2394.92939999991,2212.228004
fifo,2,2,critical-000,critical,2288.75059999973,106.15789999974368,2394.963199999893,2212.228044
fifo,2,2,batch-014,batch,2394.9248000003536,107.82859999972061,2502.817999999934,2212.3359054
fifo,2,3,critical-008,critical,14.512500000364525,107.67059999989215,122.28559999994104,2212.4584562
fifo,2,3,batch-000,batch,14.51919999999518,107.71040000008725,122.32660000017859,2212.4585087
fifo,2,3,standard-018,standard,122.2778000001199,108.90569999992294,231.2855000000127,2212.5674739
fifo,2,3,batch-004,batch,122.31680000013512,108.94469999993817,231.34740000023157,2212.5675406
fifo,2,3,standard-009,standard,231.2888000001294,106.9923000000017,338.3891999997104,2212.6745871
fifo,2,3,critical-006,critical,231.3403999996808,107.04919999989215,338.4664000000157,2212.6746687
fifo,2,3,standard-008,standard,338.3958999997958,109.80070000005071,448.33550000021205,2212.7845422
fifo,2,3,batch-009,batch,338.45889999975043,109.82549999971525,448.40350000004037,2212.7846146
fifo,2,3,critical-007,critical,448.3396000000539,104.06149999971603,552.5136000001112,2212.8887292
fifo,2,3,batch-005,batch,448.3965999997963,104.09570000001622,552.5705999998536,2212.8887906
fifo,2,3,batch-012,batch,552.5112000000263,107.93250000006083,660.887399999865,2212.9971118
fifo,2,3,batch-014,batch,552.6786000000357,107.94549999991432,660.9313000003567,2212.9971601
fifo,2,3,standard-016,standard,660.8879000000343,128.70589999965887,790.1428000000124,2213.1263763
fifo,2,3,critical-000,critical,660.9228000002076,128.7387999996099,790.2186000001166,2213.1264569
fifo,2,3,critical-005,critical,790.14079999979,106.3441999999668,896.6043999998874,2213.2328481
