scenario,strategy,batch_size,repeat,request_id,request_class,replica,input_tokens,actual_output_tokens,estimated_output_tokens,max_output_tokens,queue_ms,service_ms,end_to_end_ms
empty_pool,token_ewma,12,3,req-0005,analysis,replica-2,3720,753,935,2048,0.0,3130.0,3130.0
empty_pool,token_ewma,12,3,req-0009,rag,replica-2,1250,252,254,700,3130.0,1048.3333333333333,4178.333333333333
empty_pool,token_ewma,12,3,req-0007,rag,replica-2,1218,393,254,700,4178.333333333333,1513.0000000000002,5691.333333333333
empty_pool,token_ewma,12,3,req-0000,faq,replica-3,233,28,78,512,0.0,132.16666666666666,132.16666666666666
empty_pool,token_ewma,12,3,req-0001,analysis,replica-3,2339,828,935,2048,132.16666666666666,3149.833333333333,3281.9999999999995
empty_pool,token_ewma,12,3,req-0010,faq,replica-3,166,67,78,512,3281.9999999999995,251.0,3532.9999999999995
empty_pool,token_ewma,12,3,req-0008,rag,replica-3,451,43,254,700,3532.9999999999995,218.50000000000003,3751.4999999999995
empty_pool,oracle,12,3,req-0002,faq,replica-1,196,69,69,512,0.0,262.6666666666667,262.6666666666667
empty_pool,oracle,12,3,req-0001,analysis,replica-1,2339,828,828,2048,262.6666666666667,3149.833333333333,3412.4999999999995
empty_pool,oracle,12,3,req-0010,faq,replica-1,166,67,67,512,3412.4999999999995,251.0,3663.4999999999995
empty_pool,oracle,12,3,req-0008,rag,replica-1,451,43,43,700,3663.4999999999995,218.50000000000003,3881.9999999999995
empty_pool,oracle,12,3,req-0007,rag,replica-1,1218,393,393,700,3881.9999999999995,1513.0000000000002,5395.0
empty_pool,oracle,12,3,req-0005,analysis,replica-2,3720,753,753,2048,0.0,3130.0,3130.0
empty_pool,oracle,12,3,req-0009,rag,replica-2,1250,252,252,700,3130.0,1048.3333333333333,4178.333333333333
empty_pool,oracle,12,3,req-0000,faq,replica-3,233,28,28,512,0.0,132.16666666666666,132.16666666666666
empty_pool,oracle,12,3,req-0011,rag,replica-3,1215,100,100,700,132.16666666666666,535.8333333333334,668.0
empty_pool,oracle,12,3,req-0003,rag,replica-3,862,366,366,700,668.0,1363.6666666666665,2031.6666666666667
empty_pool,oracle,12,3,req-0004,faq,replica-3,117,101,101,512,2031.6666666666667,356.1666666666667,2387.8333333333335
empty_pool,oracle,12,3,req-0006,analysis,replica-3,3345,617,617,2048,2387.8333333333335,2614.166666666667,5002.000000000001
empty_pool,round_robin,12,4,req-0006,faq,replica-1,204,100,,512,0.0,367.3333333333333,367.3333333333333
empty_pool,round_robin,12,4,req-0008,rag,replica-1,1148,169,,700,367.3333333333333,754.6666666666667,1122.0
empty_pool,round_robin,12,4,req-0000,faq,replica-1,126,75,,512,1122.0,271.0,1392.9999999999998
empty_pool,round_robin,12,4,req-0011,rag,replica-1,995,275,,700,1392.9999999999998,1082.5,2475.5
empty_pool,round_robin,12,4,req-0003,rag,replica-2,1556,8,,700,0.0,286.00000000000006,286.00000000000006
empty_pool,round_robin,12,4,req-0004,analysis,replica-2,4081,1019,,2048,286.00000000000006,4076.833333333333,4362.833333333333
empty_pool,round_robin,12,4,req-0007,faq,replica-2,71,107,,512,4362.833333333333,368.5,4731.333333333333
empty_pool,round_robin,12,4,req-0002,faq,replica-2,207,24,,512,4731.333333333333,114.5,4845.833333333332
empty_pool,round_robin,12,4,req-0001,rag,replica-3,1070,350,,700,0.0,1345.0000000000002,1345.0000000000002
empty_pool,round_robin,12,4,req-0005,rag,replica-3,1095,189,,700,1345.0000000000002,812.5,2157.5
empty_pool,round_robin,12,4,req-0010,faq,replica-3,122,82,,512,2157.5,293.66666666666663,2451.166666666667
empty_pool,round_robin,12,4,req-0009,rag,replica-3,752,259,,700,2451.166666666667,988.6666666666666,3439.8333333333335
empty_pool,least_requests,12,4,req-0006,faq,replica-1,204,100,,512,0.0,367.3333333333333,367.3333333333333
empty_pool,least_requests,12,4,req-0008,rag,replica-1,1148,169,,700,367.3333333333333,754.6666666666667,1122.0
