config,top_k,intro_chunks,context_window,max_context_chunks,questions,avg_context_chunks,avg_context_words,avg_unique_documents,first_chunk_gold_rate,context_hit_rate,gold_chunk_share,avg_non_gold_chunks,required_term_coverage,avg_retrieval_ms,selection_score
top_k=3; intro=2; window=2; max=12,3,2,2,12,20,11.5,1318.2,3.2,0.65,0.9,0.469848,6.15,1.0,294.743,0.687484
top_k=3; intro=3; window=2; max=12,3,3,2,12,20,11.5,1320.55,3.15,0.65,0.9,0.469848,6.15,1.0,294.743,0.687445
top_k=10; intro=1; window=1; max=12,10,1,1,12,20,12.0,1383.8,3.05,0.65,0.95,0.416667,7.0,1.0,294.743,0.687437
top_k=3; intro=5; window=2; max=8,3,5,2,8,20,8.0,928.8,2.1,0.65,0.8,0.55,3.6,1.0,294.743,0.68652
top_k=3; intro=5; window=2; max=16,3,5,2,16,20,14.1,1613.8,4.2,0.65,0.95,0.432576,8.3,1.0,294.743,0.686276
top_k=3; intro=0; window=1; max=12,3,0,1,12,20,11.4,1311.05,4.7,0.65,0.95,0.406515,6.85,1.0,294.743,0.686204
top_k=3; intro=5; window=1; max=12,3,5,1,12,20,11.55,1326.65,3.25,0.65,0.9,0.464242,6.25,1.0,294.743,0.685612
top_k=5; intro=2; window=2; max=12,5,2,2,12,20,11.8,1358.35,2.5,0.65,0.9,0.465833,6.3,1.0,294.743,0.685311
top_k=5; intro=1; window=0; max=10,5,1,0,10,20,10.0,1160.8,4.4,0.65,0.95,0.39,6.1,1.0,294.743,0.685153
top_k=7; intro=2; window=0; max=10,7,2,0,10,20,10.0,1167.65,3.4,0.65,0.95,0.39,6.1,1.0,294.743,0.685039
top_k=10; intro=2; window=0; max=10,10,2,0,10,20,10.0,1167.65,3.3,0.65,0.95,0.39,6.1,1.0,294.743,0.685039
top_k=5; intro=5; window=2; max=12,5,5,2,12,20,11.85,1359.7,2.45,0.65,0.9,0.464394,6.35,1.0,294.743,0.684807
top_k=3; intro=2; window=2; max=16,3,2,2,16,20,14.05,1617.25,4.45,0.65,0.95,0.426723,8.35,1.0,294.743,0.684513
top_k=7; intro=2; window=2; max=12,7,2,2,12,20,11.95,1372.4,2.5,0.65,0.9,0.464394,6.4,1.0,294.743,0.684495
top_k=5; intro=3; window=2; max=12,5,3,2,12,20,11.8,1360.7,2.5,0.65,0.9,0.461667,6.35,1.0,294.743,0.684022
top_k=10; intro=2; window=2; max=12,10,2,2,12,20,12.0,1374.45,2.4,0.65,0.9,0.4625,6.45,1.0,294.743,0.683843
top_k=3; intro=5; window=1; max=16,3,5,1,16,20,14.1,1622.9,4.25,0.65,0.95,0.423201,8.45,1.0,294.743,0.683312
top_k=3; intro=1; window=2; max=16,3,1,2,16,20,14.0,1608.3,4.55,0.65,0.95,0.421932,8.4,1.0,294.743,0.683275
top_k=7; intro=5; window=2; max=12,7,5,2,12,20,11.95,1371.7,2.4,0.65,0.9,0.460227,6.45,1.0,294.743,0.683256
top_k=7; intro=3; window=2; max=12,7,3,2,12,20,11.95,1374.75,2.5,0.65,0.9,0.460227,6.45,1.0,294.743,0.683206
top_k=3; intro=2; window=0; max=12,3,2,0,12,20,11.3,1311.05,4.8,0.65,0.95,0.395,6.95,1.0,294.743,0.682849
top_k=3; intro=5; window=1; max=8,3,5,1,8,20,8.0,928.95,2.15,0.65,0.8,0.5375,3.7,1.0,294.743,0.682768
top_k=5; intro=5; window=1; max=8,5,5,1,8,20,8.0,929.4,1.9,0.65,0.8,0.5375,3.7,1.0,294.743,0.68276
top_k=7; intro=5; window=1; max=8,7,5,1,8,20,8.0,929.4,1.85,0.65,0.8,0.5375,3.7,1.0,294.743,0.68276
top_k=3; intro=5; window=0; max=16,3,5,0,16,20,14.0,1610.8,4.35,0.65,0.95,0.420076,8.45,1.0,294.743,0.682676
top_k=3; intro=3; window=2; max=16,3,3,2,16,20,14.05,1617.85,4.4,0.65,0.95,0.420473,8.45,1.0,294.743,0.682628
top_k=10; intro=5; window=2; max=12,10,5,2,12,20,12.0,1373.75,2.35,0.65,0.9,0.458333,6.5,1.0,294.743,0.682604
top_k=10; intro=3; window=2; max=12,10,3,2,12,20,12.0,1376.8,2.4,0.65,0.9,0.458333,6.5,1.0,294.743,0.682553
top_k=7; intro=1; window=0; max=10,7,1,0,10,20,10.0,1160.9,4.05,0.65,0.95,0.38,6.2,1.0,294.743,0.682152
